datetime_utc,Sensor09,Sensor01,Sensor25,Sensor13
2025-10-09 22:00:00,,7.96,,30.35
2025-10-09 23:00:00,,12.42,29.41,30.67
2025-10-10 00:00:00,,17.04,29.95,30.86
2025-10-10 01:00:00,,18.74,23.46,26.91
2025-10-10 02:00:00,,20.62,21.85,24.06
2025-10-10 03:00:00,,18.45,20.04,21.54
2025-10-10 04:00:00,,16.61,19.54,18.56
2025-10-10 05:00:00,,12.49,19.97,18.05
2025-10-10 06:00:00,,12.32,18.07,17.47
2025-10-10 07:00:00,,10.84,18.26,17.16
2025-10-10 08:00:00,,10.16,18.66,16.37
2025-10-10 09:00:00,,9.3,18.71,16.91
2025-10-10 10:00:00,,13.28,18.93,17.01
2025-10-10 11:00:00,,12.87,18.41,19.09
2025-10-10 12:00:00,,11.89,12.5,12.87
2025-10-10 13:00:00,,5.73,6.53,6.06
2025-10-10 14:00:00,,5.4,,5.95
2025-10-10 15:00:00,,5.06,,6.0
2025-10-10 16:00:00,,4.81,,6.19
2025-10-10 17:00:00,,4.56,,6.69
2025-10-10 18:00:00,,4.88,,8.51
2025-10-10 19:00:00,,5.73,,10.85
2025-10-10 20:00:00,,5.84,,11.28
2025-10-10 21:00:00,,8.74,,16.58
2025-10-10 22:00:00,,7.54,,27.93
2025-10-10 23:00:00,,7.87,,28.07
2025-10-11 00:00:00,,11.32,,25.76
2025-10-11 01:00:00,,10.07,,25.76
2025-10-11 02:00:00,,14.42,,22.03
2025-10-11 03:00:00,,11.02,,24.19
2025-10-11 04:00:00,,11.45,,21.57
2025-10-11 05:00:00,,5.97,,19.51
2025-10-11 06:00:00,,4.45,,18.98
2025-10-11 07:00:00,,6.96,,18.16
2025-10-11 08:00:00,,4.84,,16.75
2025-10-11 09:00:00,,4.0,,17.48
2025-10-11 10:00:00,,3.82,,17.96
2025-10-11 11:00:00,,3.51,,17.08
2025-10-11 12:00:00,,3.62,,16.85
2025-10-11 13:00:00,,3.63,,8.24
2025-10-11 14:00:00,,4.91,,5.62
2025-10-11 15:00:00,,5.19,,6.91
2025-10-11 16:00:00,,4.93,,5.46
2025-10-11 17:00:00,,5.65,,7.96
2025-10-11 18:00:00,,4.9,,10.15
2025-10-11 19:00:00,,7.42,,12.18
2025-10-11 20:00:00,,7.85,,13.5
2025-10-11 21:00:00,,6.82,,16.34
