datetime_utc,Sensor01,Sensor02,Sensor03,Sensor04,Sensor05,Sensor06,Sensor07,Sensor08,Sensor09,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25
2025-10-09 22:00:00,7.96,34.31,31.22,33.51,,,,28.77,,30.5,,29.17,30.35,26.82,,29.95,6.87,35.32,14.43,,24.39,28.53,27.27,,
2025-10-09 23:00:00,12.42,31.0,33.64,32.14,28.18,31.19,30.65,31.21,,31.95,,32.11,30.67,30.88,31.94,32.36,11.55,36.32,16.64,33.59,25.27,30.28,29.52,32.68,29.41
2025-10-10 00:00:00,17.04,30.17,29.85,30.76,28.88,30.45,28.62,31.83,,31.02,,30.54,30.86,33.36,30.55,25.09,16.93,34.11,27.24,31.14,31.01,30.73,28.01,31.51,29.95
2025-10-10 01:00:00,18.74,30.64,29.66,28.3,23.38,26.73,27.44,30.66,,29.46,,24.46,26.91,30.88,28.53,27.05,16.46,30.06,24.41,29.68,31.36,26.99,24.59,28.36,23.46
2025-10-10 02:00:00,20.62,28.17,28.4,27.37,21.95,26.86,25.2,28.04,,26.45,,22.45,24.06,28.49,27.26,27.72,17.48,28.9,23.46,30.28,28.76,20.41,24.54,24.91,21.85
2025-10-10 03:00:00,18.45,24.88,25.58,23.52,17.46,25.89,25.25,23.28,,23.22,,22.1,21.54,24.5,25.52,25.15,18.27,26.01,21.2,30.6,29.37,19.9,23.81,23.54,20.04
2025-10-10 04:00:00,16.61,22.08,26.05,21.15,17.78,23.94,22.02,23.22,,20.03,,18.32,18.56,23.66,24.26,24.45,19.02,24.41,19.48,28.13,26.67,19.2,20.07,21.77,19.54
2025-10-10 05:00:00,12.49,19.43,24.66,19.87,17.1,18.71,25.4,21.26,,19.34,,17.08,18.05,20.3,18.21,22.69,14.86,23.2,17.63,25.91,25.44,17.82,21.0,20.4,19.97
2025-10-10 06:00:00,12.32,18.7,24.0,19.96,17.61,18.23,24.41,19.72,,19.15,,16.92,17.47,20.17,15.71,23.1,6.85,19.29,17.05,23.35,24.27,17.15,19.75,17.91,18.07
2025-10-10 07:00:00,10.84,17.61,23.03,19.1,16.84,17.92,21.95,18.59,,18.09,,16.56,17.16,19.17,16.8,22.09,5.35,18.93,16.06,18.73,20.6,17.67,19.58,17.31,18.26
2025-10-10 08:00:00,10.16,17.82,22.78,17.87,16.54,17.86,19.0,18.44,,17.98,,16.55,16.37,18.28,16.39,20.34,6.27,18.78,16.66,19.02,23.08,17.65,20.47,17.65,18.66
2025-10-10 09:00:00,9.3,17.77,23.63,17.1,17.55,18.15,17.65,20.11,,16.68,,17.19,16.91,18.28,18.14,20.45,6.11,20.14,16.87,25.48,20.42,16.98,19.21,17.09,18.71
2025-10-10 10:00:00,13.28,19.34,24.23,20.23,16.29,18.66,21.21,22.73,,16.87,,17.48,17.01,19.27,20.67,23.62,7.03,22.89,17.27,25.25,24.81,17.39,18.76,17.07,18.93
2025-10-10 11:00:00,12.87,19.48,26.26,20.62,16.65,18.78,21.25,23.59,,17.87,,17.69,19.09,21.49,20.2,23.32,9.18,22.38,18.22,19.55,24.57,18.43,20.55,18.6,18.41
2025-10-10 12:00:00,11.89,18.34,24.95,12.84,13.44,13.99,15.83,16.99,,16.73,,11.33,12.87,11.02,16.41,24.11,3.77,18.58,13.79,11.13,17.28,14.75,20.18,10.02,12.5
2025-10-10 13:00:00,5.73,10.27,9.57,8.16,6.4,6.28,7.84,14.62,,12.54,,6.9,6.06,8.41,7.4,13.04,4.87,8.51,7.87,7.76,9.91,11.81,9.4,6.37,6.53
2025-10-10 14:00:00,5.4,6.8,6.63,6.19,,,,11.12,,5.67,,5.81,5.95,7.75,,7.26,5.2,6.53,11.07,,6.73,7.35,6.36,,
2025-10-10 15:00:00,5.06,6.71,6.67,6.48,,,,9.13,,5.91,,5.72,6.0,6.78,,6.99,5.35,7.23,10.47,,6.13,6.46,6.28,,
2025-10-10 16:00:00,4.81,6.71,7.75,6.59,,,,6.7,,6.49,,7.19,6.19,7.3,,7.27,5.55,9.27,10.46,,5.81,6.15,5.7,,
2025-10-10 17:00:00,4.56,7.58,10.28,8.05,,,,6.86,,6.97,,8.18,6.69,8.8,,8.83,5.39,9.34,11.78,,5.92,6.08,6.39,,
2025-10-10 18:00:00,4.88,10.42,13.1,9.76,,,,7.25,,8.42,,10.09,8.51,10.63,,9.44,5.12,9.91,8.61,,8.84,10.16,7.09,,
2025-10-10 19:00:00,5.73,18.23,18.23,14.09,,,,13.66,,9.47,,14.13,10.85,14.6,,17.68,4.87,16.23,8.57,,17.45,11.34,8.31,,
2025-10-10 20:00:00,5.84,28.1,22.67,15.25,,,,25.71,,13.67,,16.31,11.28,17.12,,19.01,5.13,15.84,5.98,,21.85,20.03,11.11,,
2025-10-10 21:00:00,8.74,26.97,23.24,16.71,,,,30.99,,14.45,,17.09,16.58,17.45,,23.73,5.78,16.82,5.8,,25.31,22.27,17.1,,
2025-10-10 22:00:00,7.54,29.91,30.07,31.9,,,,29.9,,21.48,,28.28,27.93,26.93,,26.76,6.76,30.52,11.79,,31.81,28.71,31.37,,
2025-10-10 23:00:00,7.87,31.86,31.49,30.36,,,,29.22,,24.56,,29.92,28.07,30.2,,27.69,7.52,32.45,15.59,,31.46,30.33,28.6,,
2025-10-11 00:00:00,11.32,30.84,30.36,29.4,,,,30.82,,30.78,,28.54,25.76,31.66,,26.74,9.02,34.57,21.23,,29.83,29.11,28.21,,
2025-10-11 01:00:00,10.07,27.92,28.47,26.51,,,,29.01,,29.09,,26.04,25.76,29.92,,25.13,13.24,31.52,17.07,,28.36,27.66,25.79,,
2025-10-11 02:00:00,14.42,24.08,27.54,24.88,,,,27.5,,26.62,,23.64,22.03,29.28,,25.59,10.93,26.98,22.39,,25.99,26.26,22.73,,
2025-10-11 03:00:00,11.02,22.52,27.83,24.85,,,,27.81,,25.95,,24.25,24.19,26.64,,23.89,9.96,26.11,22.72,,26.21,26.94,21.93,,
2025-10-11 04:00:00,11.45,20.5,26.41,25.1,,,,20.99,,22.26,,21.29,21.57,21.89,,25.4,4.83,22.17,17.32,,23.27,24.8,26.21,,
2025-10-11 05:00:00,5.97,20.01,24.54,21.49,,,,20.25,,22.03,,22.44,19.51,18.43,,23.54,3.73,15.67,12.05,,18.14,20.74,25.34,,
2025-10-11 06:00:00,4.45,18.13,24.37,21.37,,,,18.81,,20.59,,22.29,18.98,17.83,,23.74,4.13,13.75,11.6,,17.93,19.9,24.38,,
2025-10-11 07:00:00,6.96,21.17,24.4,20.58,,,,20.05,,20.31,,21.68,18.16,18.21,,23.89,3.93,13.41,8.57,,18.71,20.43,22.79,,
2025-10-11 08:00:00,4.84,21.09,23.09,18.82,,,,20.57,,23.68,,20.14,16.75,20.12,,24.83,5.14,17.75,11.33,,17.92,19.45,23.79,,
2025-10-11 09:00:00,4.0,20.97,28.2,18.99,,,,22.73,,22.3,,19.51,17.48,21.76,,25.35,4.95,20.71,15.91,,17.56,19.22,22.65,,
2025-10-11 10:00:00,3.82,21.48,27.26,19.42,,,,21.17,,23.26,,19.07,17.96,23.32,,25.44,4.17,19.59,15.37,,17.72,18.89,20.82,,
2025-10-11 11:00:00,3.51,20.86,26.45,20.1,,,,20.92,,22.16,,20.52,17.08,21.03,,23.51,3.92,17.98,10.14,,15.93,19.14,21.98,,
2025-10-11 12:00:00,3.62,16.82,22.22,15.67,,,,19.14,,20.17,,17.37,16.85,17.96,,23.08,3.55,12.41,12.56,,16.74,18.75,19.03,,
