datetime_utc,Sensor03,Sensor08,Sensor14,Sensor16,Sensor18,Sensor21,Sensor17,Sensor05,Sensor06,Sensor07,Sensor15,Sensor20,Sensor24,Sensor02,Sensor04,Sensor10,Sensor12,Sensor19,Sensor22,Sensor23
2025-10-09 22:00:00,31.22,28.77,26.82,29.95,35.32,24.39,6.87,,,,,,,34.31,33.51,30.5,29.17,14.43,28.53,27.27
2025-10-09 23:00:00,33.64,31.21,30.88,32.36,36.32,25.27,11.55,28.18,31.19,30.65,31.94,33.59,32.68,31.0,32.14,31.95,32.11,16.64,30.28,29.52
2025-10-10 00:00:00,29.85,31.83,33.36,25.09,34.11,31.01,16.93,28.88,30.45,28.62,30.55,31.14,31.51,30.17,30.76,31.02,30.54,27.24,30.73,28.01
2025-10-10 01:00:00,29.66,30.66,30.88,27.05,30.06,31.36,16.46,23.38,26.73,27.44,28.53,29.68,28.36,30.64,28.3,29.46,24.46,24.41,26.99,24.59
2025-10-10 02:00:00,28.4,28.04,28.49,27.72,28.9,28.76,17.48,21.95,26.86,25.2,27.26,30.28,24.91,28.17,27.37,26.45,22.45,23.46,20.41,24.54
2025-10-10 03:00:00,25.58,23.28,24.5,25.15,26.01,29.37,18.27,17.46,25.89,25.25,25.52,30.6,23.54,24.88,23.52,23.22,22.1,21.2,19.9,23.81
2025-10-10 04:00:00,26.05,23.22,23.66,24.45,24.41,26.67,19.02,17.78,23.94,22.02,24.26,28.13,21.77,22.08,21.15,20.03,18.32,19.48,19.2,20.07
2025-10-10 05:00:00,24.66,21.26,20.3,22.69,23.2,25.44,14.86,17.1,18.71,25.4,18.21,25.91,20.4,19.43,19.87,19.34,17.08,17.63,17.82,21.0
2025-10-10 06:00:00,24.0,19.72,20.17,23.1,19.29,24.27,6.85,17.61,18.23,24.41,15.71,23.35,17.91,18.7,19.96,19.15,16.92,17.05,17.15,19.75
2025-10-10 07:00:00,23.03,18.59,19.17,22.09,18.93,20.6,5.35,16.84,17.92,21.95,16.8,18.73,17.31,17.61,19.1,18.09,16.56,16.06,17.67,19.58
2025-10-10 08:00:00,22.78,18.44,18.28,20.34,18.78,23.08,6.27,16.54,17.86,19.0,16.39,19.02,17.65,17.82,17.87,17.98,16.55,16.66,17.65,20.47
2025-10-10 09:00:00,23.63,20.11,18.28,20.45,20.14,20.42,6.11,17.55,18.15,17.65,18.14,25.48,17.09,17.77,17.1,16.68,17.19,16.87,16.98,19.21
2025-10-10 10:00:00,24.23,22.73,19.27,23.62,22.89,24.81,7.03,16.29,18.66,21.21,20.67,25.25,17.07,19.34,20.23,16.87,17.48,17.27,17.39,18.76
2025-10-10 11:00:00,26.26,23.59,21.49,23.32,22.38,24.57,9.18,16.65,18.78,21.25,20.2,19.55,18.6,19.48,20.62,17.87,17.69,18.22,18.43,20.55
2025-10-10 12:00:00,24.95,16.99,11.02,24.11,18.58,17.28,3.77,13.44,13.99,15.83,16.41,11.13,10.02,18.34,12.84,16.73,11.33,13.79,14.75,20.18
2025-10-10 13:00:00,9.57,14.62,8.41,13.04,8.51,9.91,4.87,6.4,6.28,7.84,7.4,7.76,6.37,10.27,8.16,12.54,6.9,7.87,11.81,9.4
2025-10-10 14:00:00,6.63,11.12,7.75,7.26,6.53,6.73,5.2,,,,,,,6.8,6.19,5.67,5.81,11.07,7.35,6.36
2025-10-10 15:00:00,6.67,9.13,6.78,6.99,7.23,6.13,5.35,,,,,,,6.71,6.48,5.91,5.72,10.47,6.46,6.28
2025-10-10 16:00:00,7.75,6.7,7.3,7.27,9.27,5.81,5.55,,,,,,,6.71,6.59,6.49,7.19,10.46,6.15,5.7
2025-10-10 17:00:00,10.28,6.86,8.8,8.83,9.34,5.92,5.39,,,,,,,7.58,8.05,6.97,8.18,11.78,6.08,6.39
2025-10-10 18:00:00,13.1,7.25,10.63,9.44,9.91,8.84,5.12,,,,,,,10.42,9.76,8.42,10.09,8.61,10.16,7.09
2025-10-10 19:00:00,18.23,13.66,14.6,17.68,16.23,17.45,4.87,,,,,,,18.23,14.09,9.47,14.13,8.57,11.34,8.31
