datetime_utc,dem,dpw,mjf,pema,pha,rsd,network_mean
2025-10-28 16:00:00,1.3,7.1,3.8,5.0,6.3,26.17268296636748,5.55
2025-10-28 17:00:00,1.3,8.3,4.3,5.4,6.7,27.90489072837856,6.175000000000001
2025-10-31 14:00:00,,5.9,3.1,4.5,4.6,25.28592735813613,4.525
2025-10-31 15:00:00,,6.2,3.6,4.8,5.3,21.79615053884505,4.9750000000000005
2025-10-31 16:00:00,,7.5,3.8,5.1,6.2,27.89131953645502,5.65
2025-10-31 17:00:00,,8.0,4.0,5.8,7.3,28.250355221092967,6.275
2025-10-31 18:00:00,,8.1,4.1,5.8,7.8,28.99128078089044,6.449999999999999
2025-10-31 19:00:00,,8.4,4.3,5.7,6.4,27.529821751595936,6.2
2025-11-02 17:00:00,1.1,9.8,5.2,6.4,7.2,27.251799991935634,7.15
2025-11-04 16:00:00,1.0,10.0,5.6,7.3,7.6,23.76087991081107,7.625
2025-11-04 17:00:00,1.1,10.7,5.8,7.8,8.1,24.834973283316234,8.1
2025-11-04 18:00:00,1.2,12.2,6.0,8.3,8.6,29.193591925810814,8.775
2025-11-07 15:00:00,5.6,10.9,5.4,7.3,7.6,29.291435022553497,7.799999999999999
2025-11-08 17:00:00,2.3,6.3,3.4,4.2,4.3,27.126019899741564,4.55
2025-11-08 18:00:00,2.1,6.6,4.0,5.2,5.7,20.174111428977515,5.375
2025-11-08 19:00:00,2.7,6.0,4.5,5.3,5.8,12.37650472577989,5.4
2025-11-12 19:00:00,4.8,15.0,7.2,11.6,12.4,28.077411705520646,11.55
2025-11-12 20:00:00,7.2,17.4,8.6,13.6,16.5,28.260100616188975,14.025
2025-11-14 19:00:00,2.7,13.2,6.6,10.9,11.3,26.541657099782196,10.500000000000002
2025-11-16 15:00:00,2.1,7.0,3.6,5.0,5.2,26.831345559559423,5.2
2025-11-16 16:00:00,1.7,7.3,3.9,5.7,5.8,24.5170445385496,5.675
2025-11-16 17:00:00,1.1,8.6,4.4,5.4,7.1,29.104275004359952,6.375
2025-11-16 18:00:00,1.0,9.2,4.7,6.5,6.4,27.762798862295927,6.7
2025-11-16 19:00:00,1.0,10.2,5.4,8.3,8.1,24.68552207266437,8.0
2025-11-16 20:00:00,1.2,11.8,6.0,9.5,12.5,29.433112133497723,9.95
2025-11-23 14:00:00,21.8,14.6,8.9,15.5,13.1,22.439581951133178,13.025
2025-11-27 16:00:00,1.5,11.9,5.8,8.2,8.4,29.292191948201253,8.575
2025-12-18 15:00:00,26.2,18.1,11.1,13.1,12.3,22.552523867455662,13.65
2026-01-13 16:00:00,6.6,13.5,7.2,8.7,10.1,27.252550158578007,9.875
2026-01-13 17:00:00,5.6,13.9,7.0,12.1,12.8,26.705475723005513,11.45
2026-01-15 18:00:00,6.3,9.8,4.7,7.6,9.3,29.31781935084479,7.85
2026-01-15 20:00:00,5.5,12.3,6.0,10.3,12.4,29.20861123802525,10.25
2026-01-19 04:00:00,13.7,15.6,10.3,16.1,15.0,18.747045866937203,14.25
2026-01-27 06:00:00,3.7,15.8,10.0,12.9,18.1,24.76498008432476,14.200000000000001
2026-02-03 16:00:00,10.0,18.6,10.2,13.6,14.2,24.382478945816302,14.150000000000002
2026-02-23 15:00:00,2.3,15.9,8.0,16.6,15.4,28.72001886444253,13.975
2026-02-23 16:00:00,2.0,16.8,8.5,15.3,15.8,26.844385417673962,14.100000000000001
2026-02-28 15:00:00,5.3,9.0,4.5,9.0,9.1,28.698187465201602,7.9
2026-03-04 17:00:00,,8.1,4.4,5.5,5.9,25.977389921771405,5.975
2026-03-08 17:00:00,5.3,6.1,3.0,4.7,5.1,27.343118132322385,4.725
2026-03-09 09:00:00,10.3,16.7,9.3,16.3,14.8,23.930060933409365,14.274999999999999
2026-03-09 15:00:00,7.7,6.2,3.9,4.8,4.7,19.50377032221967,4.8999999999999995
2026-03-09 16:00:00,5.3,5.6,3.5,5.2,5.0,19.023377979985302,4.825
2026-03-09 20:00:00,3.9,9.5,4.9,8.0,8.7,25.881082003435207,7.775
2026-03-09 21:00:00,4.9,10.5,5.1,8.7,9.9,28.288623678240526,8.55
2026-03-10 16:00:00,7.6,7.2,4.7,5.3,5.8,18.54166445416751,5.75
2026-03-10 18:00:00,3.3,8.3,5.1,5.8,5.6,23.07447713319886,6.200000000000001
2026-03-11 17:00:00,1.9,6.0,4.5,4.8,5.7,13.602720816272097,5.25
2026-03-11 18:00:00,2.7,6.0,4.3,5.3,5.8,14.194125545039896,5.3500000000000005
2026-03-25 15:00:00,2.5,14.2,6.9,10.0,10.1,29.072226124887642,10.299999999999999
2026-03-26 17:00:00,5.1,7.5,4.1,5.6,5.5,24.601332005184688,5.675000000000001
2026-03-30 17:00:00,3.9,8.6,4.6,6.2,5.7,26.89956129938741,6.275
2026-03-31 17:00:00,4.3,6.8,4.5,5.8,5.5,16.75973181279267,5.65
