datetime_utc,dem,dpw,mjf,pema,pha
2025-10-09 22:00:00,27.6,40.4,58.1,,26.8
2025-10-09 23:00:00,18.8,32.7,52.1,12.7,11.4
2025-10-10 00:00:00,5.6,27.0,39.5,12.3,10.9
2025-10-10 01:00:00,2.8,16.9,35.0,11.7,9.4
2025-10-10 02:00:00,1.7,21.9,33.1,11.7,9.1
2025-10-10 03:00:00,2.5,20.2,33.2,11.3,10.1
2025-10-10 04:00:00,4.4,20.9,34.1,11.3,9.7
2025-10-10 05:00:00,8.3,23.5,37.5,11.5,10.8
2025-10-10 06:00:00,5.9,22.8,35.1,11.8,11.9
2025-10-10 07:00:00,6.0,22.8,35.0,11.9,12.5
2025-10-10 08:00:00,5.8,19.9,34.6,11.8,11.8
2025-10-10 09:00:00,4.7,18.2,33.8,11.5,8.8
2025-10-10 10:00:00,2.3,15.7,31.9,11.4,6.3
2025-10-10 11:00:00,2.9,14.1,31.9,11.3,6.4
2025-10-10 12:00:00,7.5,17.3,36.2,11.4,15.1
2025-10-10 13:00:00,12.0,23.0,42.0,11.4,20.8
2025-10-10 14:00:00,20.6,29.6,50.1,,28.2
2025-10-10 15:00:00,29.6,39.8,53.3,,37.3
2025-10-10 16:00:00,32.1,41.3,54.9,,40.1
2025-10-10 17:00:00,33.0,43.7,56.1,,43.6
2025-10-10 18:00:00,34.7,45.1,58.0,,44.6
2025-10-10 19:00:00,35.0,45.4,58.9,,43.9
2025-10-10 20:00:00,35.1,44.7,59.3,,41.4
2025-10-10 21:00:00,34.0,43.3,59.4,,39.7
2025-10-10 22:00:00,31.9,39.6,60.6,,32.1
2025-10-10 23:00:00,29.1,33.9,60.2,,25.2
2025-10-11 00:00:00,24.2,26.5,55.0,,17.5
2025-10-11 01:00:00,16.7,26.7,46.9,,15.3
2025-10-11 02:00:00,16.5,25.0,46.2,,17.0
2025-10-11 03:00:00,17.1,20.3,45.9,,10.1
2025-10-11 04:00:00,16.9,23.3,46.3,,8.1
2025-10-11 05:00:00,18.2,27.0,46.8,,7.4
2025-10-11 06:00:00,16.1,27.4,44.7,,8.6
2025-10-11 07:00:00,6.2,21.7,35.9,,7.4
2025-10-11 08:00:00,7.4,23.2,36.6,,7.5
2025-10-11 09:00:00,9.3,20.8,37.8,,7.3
2025-10-11 10:00:00,9.5,21.4,37.9,,6.1
2025-10-11 11:00:00,11.7,18.0,39.9,,5.7
2025-10-11 12:00:00,13.3,20.8,41.6,,7.6
2025-10-11 13:00:00,19.8,24.4,48.1,,14.0
2025-10-11 14:00:00,29.3,35.4,52.3,,34.5
2025-10-11 15:00:00,35.8,43.1,55.7,,42.0
2025-10-11 16:00:00,37.3,44.9,57.0,,45.0
2025-10-11 17:00:00,37.9,43.4,58.4,,44.8
2025-10-11 18:00:00,38.5,45.2,59.0,,43.1
2025-10-11 19:00:00,35.5,44.4,59.7,,40.5
2025-10-11 20:00:00,34.5,41.9,59.4,,39.4
2025-10-11 21:00:00,32.7,38.6,58.9,,36.0
2025-10-11 22:00:00,28.2,38.3,57.7,,30.8
2025-10-11 23:00:00,25.8,34.1,56.0,,25.9
2025-10-12 00:00:00,25.2,29.8,54.8,,26.5
2025-10-12 01:00:00,24.1,29.3,52.8,,30.4
2025-10-12 02:00:00,23.2,29.6,51.3,,26.7
2025-10-12 03:00:00,20.9,30.5,48.5,,23.5
2025-10-12 04:00:00,18.6,30.0,45.9,,21.0
2025-10-12 05:00:00,19.0,29.2,46.0,,21.3
2025-10-12 06:00:00,21.2,30.1,48.0,,24.5
2025-10-12 07:00:00,21.0,30.6,47.7,,27.0
2025-10-12 08:00:00,23.0,31.3,49.6,,26.5
2025-10-12 09:00:00,23.7,31.8,50.1,,26.8
2025-10-12 10:00:00,25.7,32.4,51.9,,29.0
2025-10-12 11:00:00,31.1,36.3,56.7,,32.0
2025-10-12 12:00:00,34.1,39.3,59.2,,34.5
2025-10-12 13:00:00,33.7,39.3,58.7,,35.0
2025-10-12 14:00:00,33.6,38.7,58.6,,35.2
2025-10-12 15:00:00,34.3,38.4,60.2,,35.1
2025-10-12 16:00:00,33.3,38.1,60.8,,33.4
2025-10-12 17:00:00,32.2,36.8,60.0,,32.1
2025-10-12 18:00:00,32.0,36.5,59.9,,31.4
2025-10-12 19:00:00,32.9,37.6,60.3,,31.4
2025-10-12 20:00:00,33.9,38.6,60.8,,32.1
2025-10-12 21:00:00,35.6,39.4,61.9,,32.9
2025-10-12 22:00:00,36.5,39.4,62.4,,33.8
2025-10-12 23:00:00,36.0,39.3,62.2,,33.4
2025-10-13 00:00:00,35.4,38.9,61.7,,32.7
2025-10-13 01:00:00,33.2,38.0,59.6,,31.9
2025-10-13 02:00:00,30.9,36.5,57.2,,30.4
2025-10-13 03:00:00,29.8,35.6,56.0,,29.6
2025-10-13 04:00:00,29.1,35.0,55.2,,28.8
2025-10-13 05:00:00,28.5,34.2,54.5,,28.3
2025-10-13 06:00:00,28.5,34.2,54.6,,28.1
2025-10-13 07:00:00,28.9,34.0,55.0,,28.6
2025-10-13 08:00:00,29.6,34.9,55.8,,28.9
2025-10-13 09:00:00,30.1,35.3,56.2,,28.8
2025-10-13 10:00:00,30.9,35.3,57.1,,29.3
2025-10-13 11:00:00,31.2,35.8,57.4,,29.7
2025-10-13 12:00:00,31.5,36.1,57.5,,30.1
2025-10-13 13:00:00,32.3,35.6,58.3,,30.9
2025-10-13 14:00:00,31.0,35.2,57.2,,29.9
2025-10-13 15:00:00,31.0,35.7,57.1,,28.8
2025-10-13 16:00:00,31.4,36.1,57.6,,29.9
2025-10-13 17:00:00,32.3,36.9,58.6,,30.6
2025-10-13 18:00:00,32.3,36.7,58.6,,30.4
2025-10-13 19:00:00,32.1,37.2,58.3,,29.5
2025-10-13 20:00:00,32.1,37.3,58.3,,30.0
2025-10-13 21:00:00,31.9,35.5,58.0,,29.0
